Date,Searches
2019-11-17,22109
2019-11-18,23539
2019-11-19,22769
2019-11-20,20914
2019-11-21,20577
2019-11-22,19062
2019-11-23,17335
2019-11-24,23132
2019-11-25,25721
2019-11-26,24842
2019-11-27,23497
2019-11-28,22744
2019-11-29,24311
2019-11-30,18243
2019-12-01,22790
2019-12-02,25824
2019-12-03,24240
2019-12-04,23298
2019-12-05,20975
2019-12-06,19037
2019-12-07,16084
2019-12-08,20137
2019-12-09,22189
2019-12-10,21556
2019-12-11,20828
2019-12-12,18292
2019-12-13,16591
2019-12-14,15984
2019-12-15,20547
2019-12-16,25014
2019-12-17,21820
2019-12-18,21195
2019-12-19,19128
2019-12-20,17963
2019-12-21,16736
2019-12-22,18026
2019-12-23,17911
2019-12-24,14022
2019-12-25,17164
2019-12-26,25537
2019-12-27,26193
2019-12-28,23764
2019-12-29,26152
2019-12-30,25425
2019-12-31,16599
2020-01-01,23211
2020-01-02,31894
2020-01-03,29344
2020-01-04,24924
2020-01-05,26167
2020-01-06,28525
2020-01-07,30908
2020-01-08,29319
2020-01-09,28780
2020-01-10,25943
2020-01-11,22990
2020-01-12,28024
2020-01-13,32164
2020-01-14,30963
2020-01-15,29806
2020-01-16,23235
2020-01-17,23777
2020-01-18,23410
2020-01-19,28199
2020-01-20,29023
2020-01-21,27766
2020-01-22,26021
2020-01-23,24478
2020-01-24,25184
2020-01-25,21866
2020-01-26,26511
2020-01-27,26842
2020-01-28,26449
2020-01-29,26007
2020-01-30,23658
2020-01-31,20795
2020-02-01,20194
2020-02-02,24684
2020-02-03,26174
2020-02-04,26367
2020-02-05,25276
2020-02-06,24156
2020-02-07,22276
2020-02-08,20846
2020-02-09,30382
2020-02-10,27967
2020-02-11,21213
2020-02-12,20938
2020-02-13,21757
2020-02-14,18962
2020-02-15,19475
2020-02-16,23550
2020-02-17,24421
2020-02-18,26736
2020-02-19,24363
2020-02-20,25323
2020-02-21,22000
2020-02-22,19535
2020-02-23,22281
2020-02-24,23213
2020-02-25,21734
2020-02-26,19700
2020-02-27,17324
2020-02-28,16419
2020-02-29,14539
2020-03-01,16999
2020-03-02,18298
2020-03-03,17349
2020-03-04,17071
2020-03-05,36478
2020-03-06,16688
2020-03-07,13678
2020-03-08,14671
2020-03-09,16734
2020-03-10,14316
2020-03-11,12158
2020-03-12,12392
2020-03-13,13788
2020-03-14,18849
2020-03-15,17635
2020-03-16,15297
2020-03-17,14017
2020-03-18,12581
2020-03-19,11029
2020-03-20,8713
2020-03-21,6790
2020-03-22,4633
2020-03-23,5078
2020-03-24,4153
2020-03-25,2821
2020-03-26,2425
2020-03-27,2196
2020-03-28,2039
2020-03-29,1950
2020-03-30,2269
2020-03-31,2261
2020-04-01,2000
2020-04-02,1961
2020-04-03,1732
2020-04-04,1750
2020-04-05,1745
2020-04-06,1877
2020-04-07,1776
2020-04-08,1769
2020-04-09,1624
2020-04-10,1297
2020-04-11,1247
2020-04-12,1241
2020-04-13,1626
2020-04-14,1690
2020-04-15,1764
2020-04-16,1516
2020-04-17,1427
2020-04-18,1446
2020-04-19,1505
2020-04-20,1396
2020-04-21,1521
2020-04-22,1477
2020-04-23,1589
2020-04-24,1228
2020-04-25,1270
2020-04-26,1159
2020-04-27,1353
2020-04-28,1624
2020-04-29,1375
2020-04-30,1417
2020-05-01,1380
2020-05-02,1259
2020-05-03,1328
2020-05-04,1374
2020-05-05,1440
2020-05-06,1462
2020-05-07,1472
2020-05-08,1609
2020-05-09,1510
2020-05-10,1558
2020-05-11,1913
2020-05-12,1970
2020-05-13,1849
2020-05-14,1837
2020-05-15,1932
2020-05-16,1926
2020-05-17,2055
2020-05-18,2090
2020-05-19,2350
2020-05-20,2200
2020-05-21,2253
2020-05-22,2320
2020-05-23,2180
2020-05-24,1966
2020-05-25,2342
2020-05-26,2311
2020-05-27,2201
2020-05-28,2289
2020-05-29,2282
2020-05-30,1868
2020-05-31,2425
2020-06-01,2643
2020-06-02,2969
2020-06-03,2871
2020-06-04,3366
2020-06-05,3601
2020-06-06,3207
2020-06-07,3602
2020-06-08,3738
2020-06-09,3470
2020-06-10,3922
2020-06-11,3450
2020-06-12,3246
2020-06-13,3231
2020-06-14,4330
2020-06-15,5650
2020-06-16,5524
2020-06-17,5267
2020-06-18,5746
2020-06-19,6387
2020-06-20,5928
2020-06-21,7106
2020-06-22,8110
2020-06-23,7999
2020-06-24,7783
2020-06-25,7347
2020-06-26,7208
2020-06-27,7527
2020-06-28,8454
2020-06-29,8988
2020-06-30,8690
2020-07-01,8450
2020-07-02,8341
2020-07-03,9873
2020-07-04,8316
2020-07-05,9810
2020-07-06,11589
2020-07-07,10977
2020-07-08,10690
2020-07-09,11097
2020-07-10,10490
2020-07-11,8666
2020-07-12,9905
2020-07-13,11375
2020-07-14,11006
2020-07-15,10845
2020-07-16,10895
2020-07-17,9757
2020-07-18,9221
2020-07-19,10707
2020-07-20,11899
2020-07-21,11741
2020-07-22,11344
2020-07-23,10698
2020-07-24,9738
2020-07-25,10305
2020-07-26,10202
2020-07-27,11522
2020-07-28,11379
2020-07-29,10410
2020-07-30,9434
2020-07-31,8708
2020-08-01,8056
2020-08-02,10292
2020-08-03,11943
2020-08-04,12284
2020-08-05,11944
2020-08-06,11706
2020-08-07,11530
2020-08-08,9771
2020-08-09,11243
2020-08-10,13141
2020-08-11,12731
2020-08-12,11922
2020-08-13,13446
2020-08-14,16418
2020-08-15,10883
2020-08-16,12562
2020-08-17,14712
2020-08-18,15140
2020-08-19,13628
2020-08-20,14728
2020-08-21,13997
2020-08-22,11903
2020-08-23,12866
2020-08-24,14822
2020-08-25,14912
